線番号,1,電圧(V)/Ch167/Cy000002/C,2,電圧(V)/Ch168/Cy000002/C,3,電圧(V)/Ch169/Cy000002/C,4,電圧(V)/Ch170/Cy000002/C,5,電圧(V)/Ch171/Cy000002/C,6,電圧(V)/Ch172/Cy000002/C,7,電圧(V)/Ch185/Cy000002/C,8,電圧(V)/Ch186/Cy000002/C,9,電圧(V)/Ch187/Cy000002/C,10,電圧(V)/Ch188/Cy000002/C,11,電圧(V)/Ch189/Cy000002/C,12,電圧(V)/Ch190/Cy000002/C,13,電圧(V)/Ch191/Cy000002/C,14,電圧(V)/Ch192/Cy000002/C,15,電圧(V)/Ch193/Cy000002/C,16,電圧(V)/Ch195/Cy000002/C,17,電圧(V)/Ch196/Cy000002/C,,,,,,電圧(V)/Ch167/Cy000002/C,,電圧(V)/Ch168/Cy000002/C,,電圧(V)/Ch169/Cy000002/C,,電圧(V)/Ch170/Cy000002/C,,電圧(V)/Ch171/Cy000002/C,,電圧(V)/Ch172/Cy000002/C,,電圧(V)/Ch185/Cy000002/C,,電圧(V)/Ch186/Cy000002/C,,電圧(V)/Ch187/Cy000002/C,,電圧(V)/Ch188/Cy000002/C,,電圧(V)/Ch189/Cy000002/C,,電圧(V)/Ch190/Cy000002/C,,電圧(V)/Ch191/Cy000002/C,,電圧(V)/Ch192/Cy000002/C,,電圧(V)/Ch193/Cy000002/C,,電圧(V)/Ch195/Cy000002/C,,電圧(V)/Ch196/Cy000002/C,
2400,,,,,,,,,,,5.08036,1.2304,5.11659,1.1808,5.27466,0.255,,,5.27958,0.2364,5.25844,0.3866,5.17948,0.7072,5.22637,0.5726,5.22421,0.5838,,,5.16135,0.8584,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.993509401,1.2304,0.998561659,1.1808,0.925781744,0.255,0,0,0.930240507,0.2364,0.929517762,0.3866,0.994161116,0.7072,0.93207033,0.5726,0.931776511,0.5838,0,0,0.977043588,0.8584,0,0
2401,,,,,,,,,,,5.08098,1.234,5.11694,1.193,5.27674,0.2558,,,5.28173,0.2368,5.26073,0.3878,5.18073,0.7162,5.22727,0.5732,5.22629,0.585,,,5.16343,0.8632,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.993630648,1.234,0.998629966,1.193,0.926146815,0.2558,0,0,0.930619329,0.2368,0.929922558,0.3878,0.994401044,0.7162,0.932230836,0.5732,0.932147494,0.585,0,0,0.977437332,0.8632,0,0
2402,,,,,,,,,,,5.08216,1.2406,5.11722,1.2034,5.2789,0.2566,,,5.28396,0.237,5.26282,0.3886,5.18108,0.7188,5.22949,0.5746,5.22754,0.5858,,,5.16378,0.864,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.993861407,1.2406,0.998684611,1.2034,0.926525927,0.2566,0,0,0.931012246,0.237,0.930292001,0.3886,0.994468224,0.7188,0.932626751,0.5746,0.932370441,0.5858,0,0,0.977503587,0.864,0,0
2403,,,,,,,,,,,5.08307,1.2458,5.11757,1.2158,5.28036,0.2572,,,5.28611,0.2374,5.2649,0.3896,5.18233,0.7288,5.23158,0.5758,5.22844,0.5864,,,5.16558,0.8684,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.994039366,1.2458,0.998752918,1.2158,0.926782179,0.2572,0,0,0.931391067,0.2374,0.930659676,0.3896,0.994708152,0.7288,0.932999481,0.5758,0.932530963,0.5864,0,0,0.977844327,0.8684,0,0
2404,,,,,,,,,,,5.08411,1.2516,5.11791,1.226,5.28126,0.2574,,,5.28833,0.2376,5.26643,0.3904,5.18295,0.7342,5.23373,0.5772,5.23053,0.5876,,,5.16774,0.8738,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.994242747,1.2516,0.998819273,1.226,0.926940142,0.2574,0,0,0.931782222,0.2376,0.930930129,0.3904,0.994827156,0.7342,0.933382912,0.5772,0.93290373,0.5876,0,0,0.978253215,0.8738,0,0
2405,,,,,,,,,,,5.08529,1.259,5.11819,1.2388,5.28355,0.2584,,,5.29056,0.238,5.26698,0.3906,5.18358,0.7396,5.23588,0.5786,5.23268,0.5888,,,5.16801,0.8744,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.994473507,1.259,0.998873918,1.2388,0.927342072,0.2584,0,0,0.932175139,0.238,0.931027351,0.3906,0.99494808,0.7396,0.933766343,0.5786,0.933287198,0.5888,0,0,0.978304326,0.8744,0,0
2406,,,,,,,,,,,5.08591,1.2628,5.11854,1.2496,5.28564,0.2592,,,5.29278,0.2384,5.26914,0.3918,5.18483,0.752,5.23796,0.5798,5.23483,0.5902,,,5.16982,0.8792,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.994594753,1.2628,0.998942224,1.2496,0.927708898,0.2592,0,0,0.932566294,0.2384,0.931409167,0.3918,0.995188007,0.752,0.93413729,0.5798,0.933670667,0.5902,0,0,0.978646959,0.8792,0,0
2407,,,,,,,,,,,5.08751,1.2722,5.11889,1.2626,5.28779,0.26,,,5.295,0.2388,5.2715,0.3928,5.18518,0.7558,5.24012,0.5812,5.23692,0.5914,,,5.17197,0.8846,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.994907647,1.2722,0.999010531,1.2626,0.928086255,0.26,0,0,0.932957449,0.2388,0.931826337,0.3928,0.995255187,0.7558,0.934522504,0.5812,0.934043434,0.5914,0,0,0.979053954,0.8846,0,0
2408,,,,,,,,,,,5.08779,1.2742,5.11916,1.276,5.28987,0.2608,,,5.2973,0.2392,5.27379,0.394,5.1858,0.7628,5.2422,0.5826,5.23907,0.5928,,,5.17412,0.8904,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.994962404,1.2742,0.999063225,1.276,0.928451326,0.2608,0,0,0.933362699,0.2392,0.932231133,0.394,0.995374191,0.7628,0.934893451,0.5826,0.934426902,0.5928,0,0,0.979460949,0.8904,0,0
2409,,,,,,,,,,,5.08938,1.2846,5.11951,1.2874,5.29196,0.2616,,,5.29952,0.2396,5.27587,0.395,5.18677,0.7736,5.24428,0.5838,5.24123,0.5942,,,5.176,0.8952,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.995273342,1.2846,0.999131531,1.2874,0.928818152,0.2616,0,0,0.933753854,0.2396,0.932598808,0.395,0.995560375,0.7736,0.935264398,0.5838,0.934812154,0.5942,0,0,0.979816833,0.8952,0,0
2410,,,,,,,,,,,5.08973,1.2866,5.11986,1.3016,5.29404,0.2624,,,5.30181,0.2402,5.27803,0.396,5.1874,0.7814,5.24637,0.5852,5.24338,0.5956,,,5.17627,0.896,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.995341788,1.2866,0.999199838,1.3016,0.929183224,0.2624,0,0,0.934157343,0.2402,0.932980625,0.396,0.995681299,0.7814,0.935637128,0.5852,0.935195622,0.5956,0,0,0.979867944,0.896,0,0
2411,,,,,,,,,,,5.09091,1.2948,5.12014,1.3136,5.29612,0.2632,,,5.30403,0.2406,5.28011,0.3972,5.18768,0.7854,5.24845,0.5866,5.24373,0.5958,,,5.17843,0.9018,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.995572547,1.2948,0.999254483,1.3136,0.929548295,0.2632,0,0,0.934548498,0.2406,0.9333483,0.3972,0.995735043,0.7854,0.936008075,0.5866,0.935258047,0.5958,0,0,0.980276832,0.9018,0,0
2412,,,,,,,,,,,5.09188,1.3014,5.12048,1.326,5.29821,0.264,,,5.30626,0.2412,5.28219,0.3982,5.18858,0.7972,5.25067,0.588,5.24553,0.5968,,,5.17961,0.9052,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.99576224,1.3014,0.999320838,1.326,0.929915121,0.264,0,0,0.934941415,0.2412,0.933715975,0.3982,0.995907791,0.7972,0.93640399,0.588,0.935579091,0.5968,0,0,0.980500206,0.9052,0,0
2413,,,,,,,,,,,5.09251,1.3058,5.12076,1.3416,5.30036,0.2648,,,5.30855,0.2416,5.28428,0.3992,5.18955,0.8114,5.2529,0.5894,5.24762,0.5982,,,5.18051,0.9078,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.995885442,1.3058,0.999375483,1.3416,0.930292478,0.2648,0,0,0.935344904,0.2416,0.934085417,0.3992,0.996093975,0.8114,0.936801688,0.5894,0.935951858,0.5982,0,0,0.980670576,0.9078,0,0
2414,,,,,,,,,,,5.09404,1.3168,5.12111,1.3548,5.30244,0.2656,,,5.31077,0.2422,5.28636,0.4004,5.19018,0.8214,5.25498,0.591,5.2497,0.5996,,,5.18259,0.9138,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.996184647,1.3168,0.99944379,1.3548,0.930657549,0.2656,0,0,0.935736058,0.2422,0.934453092,0.4004,0.996214899,0.8214,0.937172635,0.591,0.936322841,0.5996,0,0,0.98106432,0.9138,0,0
2415,,,,,,,,,,,5.09563,1.3286,5.12146,1.3716,5.30453,0.2664,,,5.313,0.2428,5.28844,0.4014,5.19108,0.8358,5.25706,0.5924,5.25186,0.601,,,5.18322,0.9156,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.996495585,1.3286,0.999512096,1.3716,0.931024376,0.2664,0,0,0.936128975,0.2428,0.934820767,0.4014,0.996387647,0.8358,0.937543582,0.5924,0.936708093,0.601,0,0,0.981183579,0.9156,0,0
2416,,,,,,,,,,,5.09626,1.3332,5.12173,1.386,5.30654,0.2672,,,5.31522,0.2434,5.29059,0.4024,5.1917,0.8472,5.25741,0.5928,5.25401,0.6024,,,5.18474,0.9202,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.996618787,1.3332,0.99956479,1.386,0.931377161,0.2672,0,0,0.93652013,0.2434,0.935200816,0.4024,0.996506651,0.8472,0.937606001,0.5928,0.937091562,0.6024,0,0,0.981471315,0.9202,0,0
2417,,,,,,,,,,,5.09716,1.3404,5.12208,1.4008,5.30682,0.2672,,,5.31744,0.2442,5.29268,0.4036,5.19233,0.8586,5.25928,0.594,5.25609,0.6038,,,5.18689,0.9262,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.99679479,1.3404,0.999633096,1.4008,0.931426305,0.2672,0,0,0.936911285,0.2442,0.935570259,0.4036,0.996627574,0.8586,0.937939496,0.594,0.937462545,0.6038,0,0,0.98187831,0.9262,0,0
2418,,,,,,,,,,,5.09834,1.3502,5.12236,1.4188,5.30897,0.268,,,5.31967,0.2448,5.29476,0.4046,5.19295,0.872,5.26144,0.5954,5.25818,0.605,,,5.18898,0.9326,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.99702555,1.3502,0.999687742,1.4188,0.931803662,0.268,0,0,0.937304202,0.2448,0.935937934,0.4046,0.996746579,0.872,0.938324711,0.5954,0.937835312,0.605,0,0,0.982273947,0.9326,0,0
2419,,,,,,,,,,,5.09869,1.3526,5.12271,1.4342,5.31106,0.2688,,,5.32189,0.2456,5.29705,0.4058,5.19358,0.8852,5.26352,0.597,5.25929,0.6058,,,5.19016,0.9362,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.997093995,1.3526,0.999756048,1.4342,0.932170488,0.2688,0,0,0.937695357,0.2456,0.93634273,0.4058,0.996867502,0.8852,0.938695658,0.597,0.938033289,0.6058,0,0,0.982497321,0.9362,0,0
2420,,,,,,,,,,,5.09987,1.363,5.12298,1.453,5.31314,0.2696,,,5.32383,0.2462,5.2992,0.4068,5.19386,0.8924,5.2656,0.5984,5.26026,0.6064,,,5.19106,0.939,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.997324755,1.363,0.999808742,1.453,0.932535559,0.2696,0,0,0.938037177,0.2462,0.936722778,0.4068,0.996921246,0.8924,0.939066605,0.5984,0.938206295,0.6064,0,0,0.982667691,0.939,0,0
2421,,,,,,,,,,,5.1005,1.368,5.12333,1.4688,5.31523,0.2704,,,5.32411,0.2464,5.30129,0.4078,5.1942,0.9012,5.26769,0.6,5.26235,0.6078,,,5.19314,0.9456,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.997447957,1.368,0.999877048,1.4688,0.932902386,0.2704,0,0,0.938086512,0.2464,0.937092221,0.4078,0.996986506,0.9012,0.939439335,0.6,0.938579062,0.6078,0,0,0.983061435,0.9456,0,0
2422,,,,,,,,,,,5.10105,1.3732,5.12368,1.4872,5.31731,0.2712,,,5.32633,0.247,5.30337,0.4088,5.19483,0.9186,5.26984,0.6016,5.2645,0.6094,,,5.19342,0.9466,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.997555514,1.3732,0.999945355,1.4872,0.933267457,0.2712,0,0,0.938477667,0.247,0.937459896,0.4088,0.99710743,0.9186,0.939822766,0.6016,0.938962531,0.6094,0,0,0.983114439,0.9466,0,0
2423,,,,,,,,,,,5.1023,1.384,5.12396,1.5028,5.31953,0.2722,,,5.32856,0.248,5.30545,0.41,5.19545,0.9356,5.27137,0.6028,5.26679,0.611,,,5.19523,0.9524,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.997799963,1.384,1,1.5028,0.9336571,0.2722,0,0,0.938870584,0.248,0.937827571,0.41,0.997226434,0.9356,0.940095626,0.6028,0.939370969,0.611,0,0,0.983457072,0.9524,0,0
2424,,,,,,,,,,,5.10265,1.3866,,,5.32162,0.273,,,5.33078,0.2488,5.30636,0.4104,5.1958,0.946,5.27199,0.6032,5.26902,0.6124,,,5.19675,0.957,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.997868408,1.3866,0,0,0.934023926,0.273,0,0,0.939261739,0.2488,0.937988429,0.4104,0.997293614,0.946,0.940206197,0.6032,0.939768706,0.6124,0,0,0.983744808,0.957,0,0
2425,,,,,,,,,,,5.10355,1.3954,,,5.32377,0.2736,,,5.33293,0.2498,5.30754,0.411,5.19608,0.9548,5.27408,0.6048,5.27131,0.614,,,5.19738,0.9592,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.998044411,1.3954,0,0,0.934401283,0.2736,0,0,0.93964056,0.2498,0.938197014,0.411,0.997347358,0.9548,0.940578927,0.6048,0.940177145,0.614,0,0,0.983864067,0.9592,0,0
2426,,,,,,,,,,,5.1048,1.407,,,5.32599,0.2744,,,5.33516,0.2506,5.30976,0.4122,5.19636,0.9638,5.27623,0.6064,5.27339,0.6156,,,5.19967,0.9668,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.99828886,1.407,0,0,0.934790927,0.2744,0,0,0.940033477,0.2506,0.938589436,0.4122,0.997401102,0.9638,0.940962358,0.6064,0.940548128,0.6156,0,0,0.984297564,0.9668,0,0
2427,,,,,,,,,,,5.10605,1.4194,,,5.32828,0.2754,,,5.33738,0.2516,5.31184,0.4132,5.19698,0.9838,5.27831,0.6078,5.27367,0.6158,,,5.20002,0.9678,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.998533309,1.4194,0,0,0.935192856,0.2754,0,0,0.940424632,0.2516,0.938957111,0.4132,0.997520106,0.9838,0.941333305,0.6078,0.940598068,0.6158,0,0,0.984363819,0.9678,0,0
2428,,,,,,,,,,,5.10695,1.4284,,,5.33037,0.2762,,,5.33967,0.2528,5.314,0.4142,5.19761,1.0024,5.28046,0.6094,5.27548,0.617,,,5.20189,0.9742,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.998709312,1.4284,0,0,0.935559682,0.2762,0,0,0.940828121,0.2528,0.939338927,0.4142,0.99764103,1.0024,0.941716736,0.6094,0.940920895,0.617,0,0,0.98471781,0.9742,0,0
2429,,,,,,,,,,,5.10723,1.4314,,,5.33245,0.277,,,5.34176,0.2538,5.31622,0.4154,5.19823,1.0234,5.28262,0.6112,5.27784,0.6188,,,5.20307,0.9782,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.998764068,1.4314,0,0,0.935924753,0.277,0,0,0.94119637,0.2538,0.93973135,0.4154,0.997760034,1.0234,0.94210195,0.6112,0.941341818,0.6188,0,0,0.984941184,0.9782,0,0
2430,,,,,,,,,,,5.10841,1.444,,,5.33273,0.2772,,,5.34398,0.2548,5.31851,0.4166,5.19886,1.0428,5.2847,0.6128,5.2802,0.6204,,,5.20418,0.9822,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.998994827,1.444,0,0,0.935973897,0.2772,0,0,0.941587525,0.2548,0.940136146,0.4166,0.997880957,1.0428,0.942472897,0.6128,0.941762742,0.6204,0,0,0.985151307,0.9822,0,0
2431,,,,,,,,,,,5.10904,1.4502,,,5.33453,0.2778,,,5.34613,0.256,5.32059,0.4176,5.19948,1.0644,5.28685,0.6144,5.28228,0.622,,,5.20598,0.9884,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.99911803,1.4502,0,0,0.936289824,0.2778,0,0,0.941966347,0.256,0.940503821,0.4176,0.997999962,1.0644,0.942856328,0.6144,0.942133725,0.622,0,0,0.985492048,0.9884,0,0
2432,,,,,,,,,,,5.10959,1.4564,,,5.33662,0.2786,,,5.34648,0.2562,5.32268,0.4186,5.19983,1.0766,5.28894,0.616,5.28437,0.6234,,,5.20626,0.9894,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.999225587,1.4564,0,0,0.936656651,0.2786,0,0,0.942028015,0.2562,0.940873263,0.4186,0.998067141,1.0766,0.943229058,0.616,0.942506492,0.6234,0,0,0.985545052,0.9894,0,0
2433,,,,,,,,,,,5.11077,1.4692,,,5.3387,0.2794,,,5.34822,0.257,5.32476,0.4196,5.20045,1.0964,5.29109,0.6178,5.28645,0.625,,,5.20835,0.9968,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.999456346,1.4692,0,0,0.937021722,0.2794,0,0,0.942334596,0.257,0.941240938,0.4196,0.998186146,1.0964,0.943612489,0.6178,0.942877476,0.625,0,0,0.985940689,0.9968,0,0
2434,,,,,,,,,,,5.11112,1.4728,,,5.34079,0.2802,,,5.35044,0.2582,5.32594,0.4204,5.2008,1.1088,5.29324,0.6194,5.28736,0.6258,,,5.2089,0.999,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.999524792,1.4728,0,0,0.937388548,0.2802,0,0,0.942725751,0.2582,0.941449523,0.4204,0.998253325,1.1088,0.94399592,0.6194,0.943039781,0.6258,0,0,0.986044804,0.999,0,0
2435,,,,,,,,,,,5.11175,1.4794,,,5.34294,0.281,,,5.3526,0.2594,5.32684,0.4208,5.20108,1.119,5.2954,0.621,5.28854,0.6266,,,5.21071,1.0054,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.999647994,1.4794,0,0,0.937765905,0.281,0,0,0.943106334,0.2594,0.941608613,0.4208,0.998307069,1.119,0.944381134,0.621,0.943250243,0.6266,0,0,0.986387437,1.0054,0,0
2436,,,,,,,,,,,5.11265,1.4894,,,5.34509,0.2818,,,5.35489,0.2606,5.32893,0.4218,5.20136,1.1314,5.29748,0.6228,5.29062,0.6282,,,5.21189,1.0098,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.999823997,1.4894,0,0,0.938143262,0.2818,0,0,0.943509823,0.2606,0.941978056,0.4218,0.998360813,1.1314,0.944752081,0.6228,0.943621226,0.6282,0,0,0.986610811,1.0098,0,0
2437,,,,,,,,,,,5.11327,1.4966,,,5.34745,0.2828,,,5.35704,0.2618,5.33101,0.4228,5.2017,1.1418,5.29956,0.6246,5.29298,0.63,,,5.21307,1.0144,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.999945244,1.4966,0,0,0.938557478,0.2828,0,0,0.943888644,0.2618,0.942345731,0.4228,0.998426073,1.1418,0.945123028,0.6246,0.944042149,0.63,0,0,0.986834185,1.0144,0,0
2438,,,,,,,,,,,5.11355,1.5,,,5.34975,0.2836,,,5.35919,0.263,5.33316,0.424,5.20198,1.1524,5.30171,0.6262,5.29507,0.6316,,,5.21459,1.02,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1.5,0,0,0.938961162,0.2836,0,0,0.944267465,0.263,0.94272578,0.424,0.998479817,1.1524,0.945506459,0.6262,0.944414916,0.6316,0,0,0.987121921,1.02,0,0
2439,,,,,,,,,,,,,,,5.3519,0.2844,,,5.36128,0.2642,5.33532,0.425,5.20233,1.163,5.3038,0.628,5.29715,0.6332,,,5.21515,1.0222,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939338519,0.2844,0,0,0.944635715,0.2642,0.943107596,0.425,0.998546997,1.163,0.945879189,0.628,0.9447859,0.6332,0,0,0.987227929,1.0222,0,0
2440,,,,,,,,,,,,,,,5.35405,0.2852,,,5.36336,0.2654,5.33768,0.4262,5.20261,1.1758,5.30588,0.6296,5.29951,0.635,,,5.21723,1.0302,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939715876,0.2852,0,0,0.945002202,0.2654,0.943524766,0.4262,0.998600741,1.1758,0.946250136,0.6296,0.945206823,0.635,0,0,0.987621673,1.0302,0,0
2441,,,,,,,,,,,,,,,5.35641,0.2862,,,5.36454,0.2662,5.33997,0.4272,5.20295,1.1866,5.30796,0.6314,5.30062,0.6358,,,5.21931,1.0384,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.940130092,0.2862,0,0,0.945210114,0.2662,0.943929562,0.4272,0.998666001,1.1866,0.946621083,0.6314,0.9454048,0.6358,0,0,0.988015417,1.0384,0,0
2442,,,,,,,,,,,,,,,5.3587,0.2872,,,5.36545,0.2666,5.34212,0.4284,5.20323,1.1976,5.30984,0.633,5.30188,0.6368,,,5.21994,1.041,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.940532021,0.2872,0,0,0.945370452,0.2666,0.944309611,0.4284,0.998719745,1.1976,0.946956362,0.633,0.94562953,0.6368,0,0,0.988134676,1.041,0,0
2443,,,,,,,,,,,,,,,5.36086,0.288,,,5.36753,0.2678,5.34427,0.4294,5.20358,1.2086,5.31012,0.6332,5.30396,0.6384,,,5.2214,1.0468,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.940911133,0.288,0,0,0.945736939,0.2678,0.944689659,0.4294,0.998786925,1.2086,0.947006297,0.6332,0.946000514,0.6384,0,0,0.988411054,1.0468,0,0
2444,,,,,,,,,,,,,,,5.36294,0.2888,,,5.36969,0.2692,5.34629,0.4304,5.20386,1.2218,5.3122,0.635,5.30632,0.6402,,,5.22258,1.052,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941276204,0.2888,0,0,0.946117523,0.2692,0.945046728,0.4304,0.998840669,1.2218,0.947377244,0.635,0.946421437,0.6402,0,0,0.988634428,1.052,0,0
2445,,,,,,,,,,,,,,,5.36503,0.2898,,,5.37205,0.2706,5.34663,0.4306,5.2042,1.2332,5.31428,0.6368,5.30868,0.6422,,,5.22348,1.0556,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941643031,0.2898,0,0,0.946533345,0.2706,0.945106829,0.4306,0.998905929,1.2332,0.947748191,0.6368,0.946842361,0.6422,0,0,0.988804798,1.0556,0,0
2446,,,,,,,,,,,,,,,5.36725,0.2906,,,5.37413,0.2718,5.34893,0.4318,5.20448,1.2444,5.31644,0.6386,5.31077,0.644,,,5.22521,1.063,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942032674,0.2906,0,0,0.946899833,0.2718,0.945513393,0.4318,0.998959673,1.2444,0.948133405,0.6386,0.947215128,0.644,0,0,0.989132287,1.063,0,0
2447,,,,,,,,,,,,,,,5.36947,0.2916,,,5.37622,0.2732,5.35108,0.4328,5.20483,1.2584,5.31852,0.6404,5.31285,0.6456,,,5.22584,1.0654,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942422317,0.2916,0,0,0.947268082,0.2732,0.945893441,0.4328,0.999026853,1.2584,0.948504352,0.6404,0.947586111,0.6456,0,0,0.989251546,1.0654,0,0
2448,,,,,,,,,,,,,,,5.37163,0.2924,,,5.3783,0.2744,5.35316,0.4338,5.20511,1.2704,5.3206,0.6422,5.31313,0.6458,,,5.22757,1.0732,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942801429,0.2924,0,0,0.94763457,0.2744,0.946261116,0.4338,0.999080597,1.2704,0.948875299,0.6422,0.947636051,0.6458,0,0,0.989579035,1.0732,0,0
2449,,,,,,,,,,,,,,,5.37371,0.2934,,,5.38038,0.2758,5.35525,0.4348,5.20545,1.2824,5.32158,0.643,5.31494,0.6474,,,5.22792,1.0744,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943166501,0.2934,0,0,0.948001057,0.2758,0.946630559,0.4348,0.999145857,1.2824,0.949050072,0.643,0.947958878,0.6474,0,0,0.98964529,1.0744,0,0
2450,,,,,,,,,,,,,,,5.37586,0.2942,,,5.38101,0.2762,5.35747,0.436,5.20573,1.2974,5.32276,0.644,5.31702,0.649,,,5.23,1.084,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943543858,0.2942,0,0,0.948112061,0.2762,0.947022981,0.436,0.999199601,1.2974,0.949260514,0.644,0.948329861,0.649,0,0,0.990039034,1.084,0,0
2451,,,,,,,,,,,,,,,5.37795,0.295,,,5.38254,0.2772,5.35969,0.437,5.20608,1.313,5.32484,0.646,5.3191,0.6508,,,5.23236,1.0946,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943910684,0.295,0,0,0.94838164,0.2772,0.947415404,0.437,0.999266781,1.313,0.949631461,0.646,0.948700845,0.6508,0,0,0.990485782,1.0946,0,0
2452,,,,,,,,,,,,,,,5.3801,0.296,,,5.3849,0.2786,5.36184,0.438,5.20643,1.3264,5.32706,0.6478,5.32119,0.6526,,,5.23472,1.1058,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944288041,0.296,0,0,0.948797463,0.2786,0.947795452,0.438,0.99933396,1.3264,0.950027375,0.6478,0.949073612,0.6526,0,0,0.99093253,1.1058,0,0
2453,,,,,,,,,,,,,,,5.38232,0.297,,,5.38719,0.28,5.36392,0.439,5.2067,1.3434,5.32915,0.6496,5.32334,0.6544,,,5.23681,1.1162,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944677684,0.297,0,0,0.949200951,0.28,0.948163128,0.439,0.999385785,1.3434,0.950400106,0.6496,0.94945708,0.6544,0,0,0.991328167,1.1162,0,0
2454,,,,,,,,,,,,,,,5.38267,0.2972,,,5.38935,0.2814,5.36608,0.4402,5.20705,1.3578,5.3313,0.6518,5.32487,0.6558,,,5.23882,1.1264,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944739115,0.2972,0,0,0.949581535,0.2814,0.948544944,0.4402,0.999452965,1.3578,0.950783536,0.6518,0.949729967,0.6558,0,0,0.99170866,1.1264,0,0
2455,,,,,,,,,,,,,,,5.38455,0.298,,,5.39164,0.283,5.36663,0.4404,5.20733,1.373,5.33283,0.653,5.32543,0.6564,,,5.23917,1.128,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945069083,0.298,0,0,0.949985023,0.283,0.948642166,0.4404,0.999506708,1.373,0.951056396,0.653,0.949829847,0.6564,0,0,0.991774915,1.128,0,0
2456,,,,,,,,,,,,,,,5.3867,0.299,,,5.39379,0.2844,5.36816,0.4412,5.20768,1.3916,5.33345,0.6536,5.32751,0.6582,,,5.2409,1.1374,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94544644,0.299,0,0,0.950363845,0.2844,0.948912619,0.4412,0.999573888,1.3916,0.951166967,0.6536,0.95020083,0.6582,0,0,0.992102404,1.1374,0,0
2457,,,,,,,,,,,,,,,5.38878,0.3,,,5.39588,0.2856,5.37031,0.4422,5.20802,1.4078,5.33567,0.6558,5.32966,0.66,,,5.24153,1.1406,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945811511,0.3,0,0,0.950732094,0.2856,0.949292668,0.4422,0.999639149,1.4078,0.951562882,0.6558,0.950584299,0.66,0,0,0.992221663,1.1406,0,0
